자치구,총인구,살인 발생,살인 검거,살인 검거율,강도 발생,강도 검거,강도 검거율,"강간,추행 발생","강간,추행 검거","강간,추행 검거율",절도 발생,절도 검거,절도 검거율,폭력 발생,폭력 검거,폭력 검거율
서울특별시,9586195,145.50 ,139.33 ,0.96 ,187.33 ,183.33 ,0.98 ,6176.33 ,5783.83 ,0.94 ,43833.00 ,21096.67 ,0.48 ,58052.83 ,49931.17 ,0.86 
종로구,151291,6.33 ,6.83 ,1.08 ,8.33 ,11.00 ,1.32 ,228.00 ,1125.83 ,4.94 ,1658.17 ,1008.67 ,0.61 ,2075.67 ,1937.33 ,0.93 
중구,128744,2.17 ,1.67 ,0.77 ,8.00 ,7.33 ,0.92 ,203.83 ,127.67 ,0.63 ,2040.50 ,901.17 ,0.44 ,1993.83 ,1740.00 ,0.87 
용산구,225882,3.17 ,2.83 ,0.89 ,6.67 ,6.67 ,1.00 ,267.50 ,230.67 ,0.86 ,1266.33 ,568.67 ,0.45 ,2074.67 ,1768.50 ,0.85 
성동구,291918,3.67 ,3.67 ,1.00 ,5.33 ,6.17 ,1.16 ,122.67 ,99.83 ,0.81 ,1160.00 ,599.83 ,0.52 ,1455.33 ,1281.33 ,0.88 
광진구,353967,4.50 ,4.17 ,0.93 ,8.33 ,8.33 ,1.00 ,256.17 ,213.83 ,0.83 ,2198.33 ,1059.67 ,0.48 ,2100.00 ,1784.67 ,0.85 
동대문구,351057,6.50 ,6.00 ,0.92 ,7.83 ,8.00 ,1.02 ,167.00 ,141.67 ,0.85 ,1647.67 ,895.33 ,0.54 ,2213.50 ,2007.83 ,0.91 
중랑구,385663,8.33 ,8.00 ,0.96 ,6.67 ,6.83 ,1.03 ,169.67 ,141.33 ,0.83 ,1676.17 ,894.50 ,0.53 ,2653.67 ,2261.50 ,0.85 
성북구,438833,5.00 ,4.67 ,0.93 ,4.67 ,4.50 ,0.96 ,163.00 ,127.67 ,0.78 ,1305.50 ,685.83 ,0.53 ,1824.83 ,1581.83 ,0.87 
강북구,299535,7.50 ,7.00 ,0.93 ,6.83 ,5.83 ,0.85 ,183.50 ,141.67 ,0.77 ,1131.83 ,613.67 ,0.54 ,2324.33 ,2112.67 ,0.91 
도봉구,315979,1.50 ,1.50 ,1.00 ,4.83 ,4.67 ,0.97 ,102.33 ,104.83 ,1.02 ,832.33 ,431.83 ,0.52 ,1332.17 ,1148.00 ,0.86 
노원구,511982,5.33 ,5.17 ,0.97 ,5.50 ,5.67 ,1.03 ,180.50 ,149.50 ,0.83 ,1652.00 ,701.67 ,0.42 ,2454.17 ,2072.33 ,0.84 
은평구,463102,5.00 ,5.00 ,1.00 ,4.67 ,3.67 ,0.79 ,184.17 ,162.00 ,0.88 ,1530.17 ,847.33 ,0.55 ,2274.17 ,2002.17 ,0.88 
서대문구,317209,3.67 ,3.50 ,0.95 ,3.50 ,3.17 ,0.90 ,178.50 ,157.33 ,0.88 ,1318.33 ,653.00 ,0.50 ,1676.83 ,1378.67 ,0.82 
마포구,365612,5.33 ,5.17 ,0.97 ,6.33 ,6.17 ,0.97 ,418.17 ,349.33 ,0.84 ,2143.33 ,844.67 ,0.39 ,2544.67 ,2151.33 ,0.85 
양천구,439068,4.00 ,4.33 ,1.08 ,4.17 ,5.17 ,1.24 ,124.17 ,108.00 ,0.87 ,1596.17 ,696.83 ,0.44 ,2016.00 ,1675.17 ,0.83 
강서구,564854,9.33 ,9.33 ,1.00 ,7.00 ,6.83 ,0.98 ,282.17 ,234.67 ,0.83 ,1899.83 ,1095.33 ,0.58 ,2824.67 ,2423.67 ,0.86 
구로구,435442,8.00 ,7.67 ,0.96 ,8.33 ,8.00 ,0.96 ,259.17 ,169.00 ,0.65 ,1894.33 ,896.50 ,0.47 ,2763.33 ,2296.67 ,0.83 
금천구,249419,5.00 ,5.17 ,1.03 ,7.00 ,6.00 ,0.86 ,172.67 ,146.83 ,0.85 ,1216.00 ,671.50 ,0.55 ,1880.50 ,1670.50 ,0.89 
영등포구,403619,12.67 ,11.17 ,0.88 ,10.50 ,8.83 ,0.84 ,361.33 ,238.83 ,0.66 ,2416.33 ,1018.50 ,0.42 ,3205.00 ,2630.17 ,0.82 
동작구,392772,3.67 ,3.00 ,0.82 ,5.33 ,5.17 ,0.97 ,295.17 ,141.00 ,0.48 ,1356.17 ,585.17 ,0.43 ,1728.17 ,1460.67 ,0.85 
관악구,502641,9.50 ,8.83 ,0.93 ,9.00 ,9.33 ,1.04 ,364.00 ,299.83 ,0.82 ,2208.67 ,1027.17 ,0.47 ,2936.00 ,2506.83 ,0.85 
서초구,401749,6.17 ,6.00 ,0.97 ,8.83 ,6.17 ,0.70 ,462.17 ,305.50 ,0.66 ,2132.33 ,991.50 ,0.46 ,2392.17 ,2039.83 ,0.85 
강남구,508135,7.67 ,7.17 ,0.93 ,18.83 ,18.50 ,0.98 ,591.00 ,495.00 ,0.84 ,3248.67 ,1516.33 ,0.47 ,3910.33 ,3374.33 ,0.86 
송파구,643288,7.33 ,7.33 ,1.00 ,9.67 ,10.00 ,1.03 ,268.50 ,220.50 ,0.82 ,2542.17 ,1043.17 ,0.41 ,3065.50 ,2625.17 ,0.86 
강동구,444434,4.17 ,4.17 ,1.00 ,11.17 ,11.33 ,1.01 ,171.00 ,151.50 ,0.89 ,1761.67 ,848.83 ,0.48 ,2333.33 ,2000.00 ,0.86 
