,면적,경도,위도,한강공원
0,2896887,126.9903773,37.5501402,0
1,80683,127.1547791,37.5403935,0
2,9132690,127.0198465,37.4264494,0
3,480994,127.0417982,37.5430717,0
4,2284085,126.878907,37.571805,0
5,89481,126.9780227,37.5750449,0
7,6456,126.9112668,37.519832,0
8,80309,127.0217653,37.5572281,0
9,19804,126.86115,37.5575833,0
10,51977,127.0524023,37.5448144,0
11,11467,127.1471618,37.5504807,0
12,229539,126.922377,37.526129,0
13,151797,127.0488644,37.5732438,0
14,1673460,127.0038188,37.5675245,0
15,61544,126.910662,37.515423,0
16,424106,126.918289,37.492333,0
17,560552,127.0809212,37.5498987,0
18,266968,127.1263451,37.5444741,0
19,75900,126.983335,37.522226,0
20,11302172,126.956771,37.5738289,0
21,201779,127.007587,37.580477,0
22,258991,127.035042,37.471225,0
23,1042081908,126.96413,37.445208,0
24,1712941,126.95993,37.545234,0
25,15000,126.9079509,37.469625,0
26,297926,127.0252858,37.5965837,0
27,411972,126.8485734,37.4888943,0
28,98470,126.9685341,37.570773,0
29,20387413,126.9736849,37.4998621,0
30,6037152,126.8479643,37.5138358,0
31,108120,126.8521495,37.5042944,0
32,296193,126.8763932,37.5349739,0
33,298438,126.8526745,37.5679874,0
34,126026,126.9229851,37.5690506,0
35,1350027,126.838952,37.5735645,0
36,384026,126.9640735,37.4845836,0
37,180000,126.8157075,37.5801585,0
38,416031,126.928607,37.510234,0
39,160720,127.0626512,37.5750896,0
40,2277252,127.0809639,37.4796489,0
41,1959970,126.9882853,37.5710052,0
42,138596,126.8689146,37.5082119,0
43,185295,127.1586644,37.5005173,0
44,254648,127.0450338,37.4903127,0
45,298165,127.0350296,37.5246752,0
46,762642,127.0511145,37.6020055,0
47,664905,127.0455446,37.648316,0
48,995999,127.1676703,37.5598341,0
49,5802,127.0027886,37.5802295,0
50,16500,126.9302895,37.5177329,0
51,585652,127.1387,37.4957083,0
52,6497096,127.1613641,37.5537143,0
53,72132,126.8132285,37.5819812,0
54,660278,127.0762885,37.5102779,0
55,265582,127.0641623,37.5812324,0
56,20887049,126.9390273,37.5798246,0
57,112070,126.8689817,37.5579702,0
58,993724,126.928616,37.5879662,0
59,219167,127.1323957,37.5038715,0
60,13495564,127.0317269,37.6327957,0
61,1511198,126.9020153,37.604071,0
62,1097565,126.83695,37.5002598,0
63,328018,127.0554961,37.5139026,0
64,1447122,127.122959,37.520934,0
65,207790,126.9901672,37.5907944,0
66,1018689,127.0923625,37.6106404,0
67,954553,126.9737295,37.5929992,0
68,1667848,127.000938,37.624549,0
69,13224,126.911414,37.546797,0
70,130345,126.9298962,37.6188016,0
71,5332422,127.0952714,37.6636719,0
72,5107964,127.0905888,37.5731968,0
73,47832,126.948636,37.5137049,0
74,213552,126.8783125,37.5429593,0
75,16809987,126.9674018,37.5759864,0
76,3594352,126.844932,37.5541932,0
77,36660,126.9743686,37.4860183,0
78,380735,126.9842875,37.5895821,0
79,18074209,126.9578438,37.5849001,0
80,3593428,126.9385469,37.492299,0
81,632733,127.1574587,37.5431657,0
82,328018,127.0271316,37.6531456,0
83,66918853,127.0813633,37.699232,0
84,285757,127.0983002,37.5069328,0
85,110407,126.90014,37.543418,0
86,296822,126.9652702,37.5560189,0
87,137759,127.0078625,37.5948509,0
88,917190,126.8517836,37.5421979,0
89,51470,127.047938,37.689585,0
90,662543,127.0407344,37.6233355,0
91,217946,126.8304789,37.5278392,0
92,179666,127.1093075,37.6049896,0
93,34955,127.0116241,37.652331,0
94,18083,126.908681,37.468164,0
95,4835,126.9040127,37.4468663,0
96,19650,126.9090028,37.4734274,0
97,7000,127.031982,37.6597135,0
98,10712,127.0509895,37.6473889,0
99,17182,127.0390042,37.5732791,0
100,1603493,126.8859012,37.5760106,0
101,874324,126.9289936,37.5517298,0
102,13467,127.0189457,37.5494726,0
103,46871,127.0212054,37.543564,0
104,49972,127.1275819,37.4862156,0
105,74385,127.030517,37.467654,0
106,8868,126.9758875,37.5735,0
107,10634,126.938511,37.4642128,0
108,22113,127.0405382,37.6479483,0
110,1082847,126.9134338,37.6374823,0
111,3692455,127.0424726,37.4224347,0
112,386500,126.8068278,37.5813917,0
113,23450,127.1010031,37.5517142,0
114,2400833,127.0666632,37.4482109,0
115,2752421,127.061567,37.4689473,0
116,4180551,127.0091324,37.470484,0
117,147859,126.9240693,37.6293824,0
118,111650,126.9102948,37.5920771,0
120,519782,127.092184,37.4880445,0
121,59347,127.052453,37.5213259,0
122,25500,127.1533951,37.5372715,0
123,2560,126.9207354,37.619052,0
124,32000,127.113261,37.6054218,0
125,45615,127.0178267,37.5764419,0
126,631021,127.0987817,37.5877155,0
127,109635,127.095997,37.5797622,0
128,140022,126.8932455,37.57171848,0
129,211392,127.076482,37.627077,0
130,157535,127.115594,37.472332,0
131,,127.1200384,37.5487859,1
132,,127.081933,37.5179593,1
133,,127.0655755,37.5298798,1
134,,127.0122724,37.5206865,1
135,,126.9758341,37.5159594,1
136,,126.9960378,37.5103503,1
137,,126.8945702,37.5557262,1
138,,126.9330781,37.5284304,1
139,,126.8765181,37.5660148,1
140,,126.8152348,37.5880848,1
141,,126.902265,37.5383005,1
